course_id,title,credits,department,level,description,terms_offered
AAAD-A 338,AFRICAN AMERICAN DANCE COMPANY: ADVANCED STUDIES AND PRACTICES,2 credits,AAAD,300,Course Description: Students learn dance technique and experience performance from the perspective of the African American and African diaspora. Students perform in choreographic works created by the director and in works produced from student collaborative projects.,"Typically Offered: Summer, Fall"
AAAD-A 339,AFRICAN AMERICAN CHORAL ENSEMBLE: ADVANCED STUDIES AND PRACTICES,2 credits,AAAD,300,"Course Description: Continues choral ensemble participation and the goals of A110. Through meetings with the instructor, students may complete a research project, and develop advanced-level choral leadership skills in vocal techniques, advanced sight reading, and intermediate piano skills. Students will organize and perform in small ensembles to demonstrate their abilities to perform Black choral music.","Typically Offered: Summer, Fall"
AAAD-A 345,HIP HOP MUSIC AND CULTURE,3 credits,AAAD,300,Course Description: Examines rap music as an artistic and sociological phenomena with emphasis on its historical and political contexts.,Typically Offered: Summer
AAAD-A 354,TRANSNATIONAL AMERICAS,3 credits,AAAD,300,"Course Description: Comparative colloquium, which explores the recent literature on racial connections between ""the local"" and ""the global"" in contemporary American experience. Through immersion in the new ""transnational"" critiques of the United States, studies analyze texts that describe African, Asian, European, Indigenous and Latino sensibilities about culture, homelands, belonging and exclusion.",Typically Offered: Summer
AAAD-A 356,AFRICAN-AMERICAN HISTORY II,3 credits,AAAD,300,"Course Description: 1900 to the present. Migration north, NAACP, Harlem Renaissance, postwar freedom movement.",Typically Offered: Summer
AAAD-A 360,SLAVERY: WORLDWIDE PERSPECTIVE,3 credits,AAAD,300,"Course Description: Examines several aspects of the classical, indigenous and modern political/social bondage.",Typically Offered: Summer
AAAD-A 363,RESEARCH ON CONTEMPORARY AFRICAN AMERICAN PROBLEMS,3 credits,AAAD,300,"Course Description: A research seminar primarily designed for juniors and seniors directed to critical analysis of selected topics germane to the future socio-economic and political position of Afro-Americans. Reading and discussion of relevant texts, studies, and articles. Includes theory construction, research design and data collection.",Typically Offered: Summer
AAAD-A 380,CONTEMPORARY BLACK AMERICAN WRITING,3 credits,AAAD,300,"Course Description: A composition and literature course that teaches the skills of writing. Structuring of ideas through analysis and practice of various techniques of paragraph and essay development. Reading and discussion of representative Afro-American writings including poetry, short story, sermons, novel, drama.",Typically Offered: Summer
AAAD-A 394,SURVEY OF AFRICAN AMERICAN MUSIC,3 credits,AAAD,300,"Course Description: A chronological survey of sacred and secular African American musical traditions in North America from the African past to the present. Emphasis placed on context for evolution, musical processes and aesthetics, interrelationships among genres and musical change, issues of gender, and music as resistance.",Typically Offered: Summer
AAAD-A 396,ART MUSIC OF BLACK COMPSERS,3 credits,AAAD,300,Course Description: A study of Black music and musicians in the United States with emphasis on the Black composer in contemporary music.,Typically Offered: Summer
AAAD-A 415,POLIT IMPACT OF BLK RELIGION,3 credits,AAAD,400,"Course Description: The course will focus upon politically-oriented Afro-American and African religious activity including protest movements, nationalist groups, and electoral involvements. Course goals include familiarizing students with important actors and events in black religious and political affairs and developing critical thinking by students about politics and religious involvement in politics.",Typically Offered: Summer
AAAD-A 499,HONORS THESIS,3 credits,AAAD,400,"Course Description: Development, completion, and defense of Honors thesis.","Typically Offered: Spring, Summer, Fall"
AAAD-A 557,RACE AND POLITICS IN THE AFRICAN DIASPORA,4 credits,AAAD,500,"Course Description: This course introduces students to theories, methodologies, and scholarship on the relationship between race and politics in the African Diaspora by examining central themes relating to the state, citizenship, public policy, racial ideologies and de jure and de facto segregation.",Typically Offered: Summer
AAAD-A 599,MA THESIS RESEARCH,1-6 credits,AAAD,500,Course Description: Students who are have completed their MA coursework should take this course to work on their thesis research. These credits are intended to give the student credit for work done on the thesis.  ,"Typically Offered: Spring, Summer, Fall"
AAAD-A 669,INDEP PROJ BLACK SOCIAL ISSUES,3 credits,AAAD,600,Course Description: This course is designed to meet individual interests of students by providing opportunities for research on a chosen topic and by encouraging non-traditional approaches or settings in the application of concepts developed in formal classes.,"Typically Offered: Spring, Summer, Fall"
AAAD-A 686,GRAD INTERNSHIP AFRO-AMER STDS,4 credits,AAAD,600,"Course Description: Directed  readings, work experience, journal, oral presentation. Most research experiences will require research skills.","Typically Offered: Spring, Summer, Fall"
AAAD-A 689,INDEP. PROG. IN BLK LITERATURE,3 credits,AAAD,600,Course Description: This course is designed to meet individual interests of students by providing opportunities for research on a chosen topic and by encouraging non-traditional approaches or settings in the application of concepts developed in formal classes.,"Typically Offered: Spring, Summer, Fall"
AAAD-A 694,THE ARTS IN AFRC AM&AFRC DIASP,3 credits,AAAD,600,"Course Description: Introduces graduate students to interdisciplinary and globalized approaches to Africans in the Americas and the Diaspora, as well as the canons, paradigms, theories, methods, and seminal-thinker biographies of the field.",Typically Offered: Summer
AAAD-A 698,FIELD STUDY SEMINAR,4 credits,AAAD,600,"Course Description: This course is for the development of the final master's project. A critical paper, a thesis-length documentation of a field study, or a substantial record of creative activity are required.","Typically Offered: Spring, Summer, Fall"
AAAD-A 699,INDPT PROJECT IN BLACK MUS,3 credits,AAAD,600,Course Description: This course is designed to meet individual interests of students by providing opportunities for research on a chosen topic and by encouraging non-traditional approaches or settings in the application of concepts developed in formal class settings.,"Typically Offered: Spring, Summer, Fall"
AAAD-A 799,STUDY AND RESEARCH ABROAD IN AAADS,3 credits,AAAD,700,"Course Description: This course is designed to introduce students to different peoples, cultures, histories, literary works, political systems and others by having them spend time in Diasporic communities concerning peoples of African descent.","Typically Offered: Spring, Summer, Fall"
AAAD-A 899,AAADS PHD DISSERTATION RESEARCH,1-12 credits,AAAD,800,Course Description: Students who are candidates should take this course to work on their dissertation research.  These credits are intended to give the student credit for work done on the dissertation.,"Typically Offered: Spring, Summer, Fall"
AAAD-G 599,THESIS RESEARCH,0 credits,AAAD,500,Course Description: Master's students who have enrolled in 30 or more hours of graduate course work applicable to the degree and who have completed all other requirements of the degree except the thesis of final project of performance may enroll in G599.  Requires section authorization.,"Typically Offered: Spring, Summer, Fall"
AAAD-G 901,ADVANCED RESEARCH,6 credits,AAAD,900,"Course Description: Available to graduate students who have completed all course requirements for their doctorates, have passed doctoral qualifying examinations, and have the requisite number of degree credit hours, this course provides the advanced research student with a forum for sharing ideas and problems under the supervision of a senior researcher.","Typically Offered: Spring, Summer, Fall"
AAAD-X 373,INTERNSHIP IN AFRICAN AMERICAN AND AFRICAN DIASPORA STUDIES,1-3 credits,AAAD,300,"Course Description: Directed readings, field research, research papers. Certain internship experiences may require research skills.","Typically Offered: Spring, Summer, Fall"
AAAD-X 490,INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES,1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM SECULAR MUSIC (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM FICTION (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM NON-FICTION (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM SOCIAL ISSUES (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM THTR & DRAMA (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM HISTORY (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM FOLKLORE (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM SACRED MUSIC (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO AM POETRY (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AAAD-X 490,RDGS IN AFRO-AM FILM STUDIES (INDIVIDUAL READINGS IN AFRICAN AMERICAN STUDIES),1-3 credits,AAAD,400,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AADM-Y 500,TOPICS IN ARTS ADMINISTRATION,1-6 credits,AADM,500,Course Description: Selected research and discussion topics organized on a semester by semester basis.,"Typically Offered: Spring, Summer, Fall"
AADM-Y 500,ARTS EDUCATION POLICY (TOPICS IN ARTS ADMINISTRATION),1-6 credits,AADM,500,Course Description: Selected research and discussion topics organized on a semester by semester basis.,"Typically Offered: Spring, Summer, Fall"
AADM-Y 500,O'NEILL IN SCOTLAND (TOPICS IN ARTS ADMINISTRATION),1-6 credits,AADM,500,Course Description: Selected research and discussion topics organized on a semester by semester basis.,"Typically Offered: Spring, Summer, Fall"
AADM-Y 508,PERFORMING ARTS ORGANIZATION MANAGEMENT,3 credits,AADM,500,"Course Description: Students obtain a working vernacular of the various performing arts disciplines; understand nuances, niche theories and practices in the performing arts management field; analyze and synthesize major concepts and trends; and exercise real-world activities in anticipation of entering the sector. Topics include artistic planning, labor relations, artist management/contracts, and ethics.",Typically Offered: Summer
AADM-Y 525,MUSEUM MANAGEMENT,3 credits,AADM,500,"Course Description: Management of art and historical museums. The museum, its legal status, the building, management and staff, goals and objectives, fund-raising and budgeting, collections and exhibitions, education and community outreach.",Typically Offered: Summer
AADM-Y 526,ART AND SOCIAL CHANGE,3 credits,AADM,500,Course Description: Art & Social Change traces the development of art practice as a vehicle for social change from the Civil Rights movement to the present day and asks students to envision a community cultural development project of their own.  Augusto Boal's innovative community building techniques are used throughout the class.,Typically Offered: Summer
AADM-Y 530,AUDIENCE DEV & MRKTG THE ARTS,3 credits,AADM,500,Course Description: ,Typically Offered: Summer
AADM-Y 550,PRACTICUM IN ARTS ADMINISTRATION,0-3 credits,AADM,500,"Course Description: The practicum focuses on building your professional portfolio by adding variety and depth to your arts administration skill set through self-directed projects, research, and/or participation in shadowing, conferences, and workshops. Students complete a total of 150 hours (3 credits) of practicum over the course of their time in the program.","Typically Offered: Spring, Summer, Fall"
AADM-Y 558,FUND DEVELOPMENT FOR NONPROFIT ORGANIZATIONS,3 credits,AADM,500,"Course Description: This course will review the historic philanthropic landscape for/examine the different sources of donations needed to complete the contributed revenue picture for nonprofit organizations, concentrating on those operating in the arts and culture sector. We will explore strategies for building and increasing contributed revenue inside
organizations, concentrating on practical solutions.",Typically Offered: Summer
AADM-Y 559,PUBLIC POLICY AND THE ARTS,3 credits,AADM,500,"Course Description: This course looks at the various philosophies and practices of government support for the arts in the US and elsewhere. Additional selected topics include ethical issues regarding problematic works of art, multiculturalism and diversity, equity in the arts, and the politicization of art.",Typically Offered: Summer
AADM-Y 680,READINGS IN ARTS ADMINISTRATION,1-3 credits,AADM,600,Course Description: Supervised readings in Arts Administration.,"Typically Offered: Summer, Fall"
AADM-Y 690,INDEPENDENT STUDY IN ARTS ADMINISTRATION,1-3 credits,AADM,600,Course Description: ,"Typically Offered: Spring, Summer, Fall"
AADM-Y 750,INTERNSHIP IN ARTS ADMINISTRATION,0-3 credits,AADM,700,"Course Description: The internship shall consist of 280 hours, in a managerial office of a museum, theatrical or musical organization, or community, state, regional, or national arts council. Taken in the summer following the first year of course work or in the spring or summer following the final semester of course work.","Typically Offered: Spring, Summer, Fall"
AAST-A 101,INTRODUCTION TO ASIAN AMERICAN STUDIES,3 credits,AAST,100,"Course Description: Examines the histories, experiences, and cultures that shape the Asian American community. Through articles, books, and film, this course explores the commonalities and the diversity of experiences among Asians in the United States, with particular focus on such issues as immigration, education, community, and identity.","Typically Offered: Summer, Fall"
AAST-A 300,TOPICS IN ASIAN AMERICAN STUDIES,3 credits,AAST,300,"Course Description: Advanced study of a single focused topic in Asian American studies, with attention to disciplinary and interdisciplinary interpretations, frameworks of theory and practice, and skills in research, analysis, and writing. Topics vary.",Typically Offered: Summer
AAST-A 300,ASIAN AMERICANS IN FILM AND TV (TOPICS IN ASIAN AMERICAN STUDIES),3 credits,AAST,300,"Course Description: Advanced study of a single focused topic in Asian American studies, with attention to disciplinary and interdisciplinary interpretations, frameworks of theory and practice, and skills in research, analysis, and writing. Topics vary.",Typically Offered: Summer
ABEH-A 101,INTRODUCTION TO ANIMAL BEHAVIOR,3 credits,ABEH,100,"Course Description: Provides students with a general introduction to the scientific study of animal behavior, including a broad overview of how developmental, physiological, and ecological factors determine behaviors and the evolutionary forces that shape those behaviors.","Typically Offered: Spring, Summer, Fall"
ABEH-A 200,WORKSHOP IN ANIMAL BEHAVIOR,3 credits,ABEH,200,Course Description: For students pursuing a major in animal behavior. Introduces a range of research topics within animal behavior. Provides information on general experimental methods and design and on potential research opportunities in the field.,"Typically Offered: Summer, Fall"
ABEH-A 350,ANIMAL BEHAVIOR LABORATORY,3 credits,ABEH,300,"Course Description: Teaches how to observe, quantify, and manipulate animal behavior in a laboratory setting. Practices fundamental experimental techniques used in ethological research.","Typically Offered: Summer, Fall"
ABEH-A 400,ADVANCED WORKSHOP IN ANIMAL BEHAVIOR,3 credits,ABEH,400,"Course Description: Research seminar for advanced animal behavior students. Focuses on an individual research project that culminates in a formal presentation related to the student's independent research or internship experience. Goal is to improve independent study, problem-solving, research, reading, writing, and oral presentation skills. Students also critically evaluate research in the primary literature and research presentations at the annual Animal Behavior Conference.","Typically Offered: Summer, Fall"
ABEH-A 401,TOPICAL ISSUES IN ANIMAL BEHAVIOR,1-3 credits,ABEH,400,Course Description: Topics related to the scientific study of animal behavior not studied extensively in other courses. Topics vary.,"Typically Offered: Summer, Fall"
ABEH-A 401,THEMES AND CONCEPTS IN ANIMAL BEHAVIOR (TOPICAL ISSUES IN ANIMAL BEHAVIOR),1-3 credits,ABEH,400,Course Description: Topics related to the scientific study of animal behavior not studied extensively in other courses. Topics vary.,"Typically Offered: Summer, Fall"
ABEH-A 401,ANIMAL PERSONALITY (TOPICAL ISSUES IN ANIMAL BEHAVIOR),1-3 credits,ABEH,400,Course Description: Topics related to the scientific study of animal behavior not studied extensively in other courses. Topics vary.,"Typically Offered: Summer, Fall"
ABEH-A 502,RESEARCH AND PROFESSIONAL ETHICS IN BIO-BEHAVIORAL SCIENCES,1 credit,ABEH,500,"Course Description: Readings and case-based discussion dealing with general ethical issues in science, with a particular focus on animal behavior. Topics include: treatment and protection of animals, the acquisition, analysis, and use of data, student-mentor and student-teacher relations, credit, authorship, and peer review.",Typically Offered: Summer
ABEH-X 473,ANIMAL BEHAVIOR INTERNSHIP,1-6 credits,ABEH,400,Course Description: Hands-on animal behavior research experience in practical situations. Interns are matched with faculty mentors and internship sites. Students combine research with practical service to the host organization.,"Typically Offered: Spring, Summer, Fall"
ABEH-X 491,INDEPENDENT STUDY IN ANIMAL BEHAVIOR,1-3 credits,ABEH,400,"Course Description: Independent study under supervision of a faculty member. Study in depth of a topic of interest to the student, culminating in a research paper and presentation.","Typically Offered: Spring, Summer, Fall"
AERO-A 102,HERITAGE AND VALUES OF THE UNITED STATES AIR FORCE II,1 credit,AERO,100,Course Description: ,Typically Offered: Summer
AERO-A 152,AIR FORCE ROTC LEADERSHIP LAB (LLAB) II,1 credit,AERO,100,"Course Description: Achievement of course objectives is demonstrated using the LLAB lesson objectives for each subset of AFROTC cadets. Each lesson presented during LLAB is designed to reflect some aspect or component of the overall course objectives. The objectives of the AFROTC LLAB program are: a. Provide 1st-year cadets (Initial Military Training - IMT) an informative and motivational program designed to recruit, retain, and familiarize cadets with the Air Force way of life and foster leadership, followership, teamwork, and esprit de corps. b. Provide cadets scheduled to attend field training (Field Training Preparation - FTP) with the mental and physical skills needed to succeed in the demanding AFROTC field training environment. c. Provide cadets returning from field training (Intermediate Cadet Leader - ICL) sufficient opportunities to demonstrate and develop the leadership and management skills needed to successfully function as active duty officers. d. Provide cadets soon to be commissioned (Senior Cadet Leader - SCL) additional opportunities to demonstrate and develop the leadership and management skills needed to successfully function as an active duty officer, and to adequately prepare them to transition from the AFROTC training environment to active duty.",Typically Offered: Summer
AERO-A 202,TEAM AND LEADERSHIP FUNDAMENTALS II,1 credit,AERO,200,Course Description: ,Typically Offered: Summer
AERO-A 302,LEADING PEOPLE AND EFFECTIVE COMMUNICATION II,3 credits,AERO,300,Course Description: ,Typically Offered: Summer
AERO-A 402,NATIONAL SECURITY AND PREPARATION FOR ACTIVE DUTY II,3 credits,AERO,400,"Course Description: Continuation of the analysis of the United States foreign and defense policies, with emphasis on the study of international alliances and case studies on policy formulation. Other topics include societal attitudes toward the military, the military officer in a democratic society, the requisites for maintaining national security, constraints on the defense establishment, and military law. Case studies will be included.",Typically Offered: Summer
AFRI-A 500,ADVANCED TOPICS IN AFRICAN STUDIES,1-4 credits,AFRI,500,Course Description: Advanced and intensive study of selected topics in African Studies. To include topics not ordinarily covered by existing African Studies Program courses. May not duplicate a regularly offered course.,"Typically Offered: Spring, Summer, Fall"
AFRI-A 651,INDEPENDENT RESEARCH / DIRECTED READINGS,1-4 credits,AFRI,600,"Course Description: Individually designed course in preparation for and writing of M.A. thesis. Must be directed by an African Studies faculty affiliate and approved by the student's disciplinary advisor and the African Studies Program director. May include fieldwork in Africa and/or research in museums, archives, and libraries.","Typically Offered: Spring, Summer, Fall"
AFRI-A 731,SEMINAR ON CONTEMPORARY AFRICA,1-3 credits,AFRI,700,Course Description: AFRI-A 731 seminars are interdisciplinary graduate courses offered on a different topic by African Studies faculty across the disciplines and professional schools. They include intensive readings and guest lectures by national and international scholars.,"Typically Offered: Summer, Fall"
AFRI-A 731,GLOBALIZING THE PAST: HISTORY AND THE GLOBAL TURN (SEMINAR ON CONTEMPORARY AFRICA),1-3 credits,AFRI,700,Course Description: AFRI-A 731 seminars are interdisciplinary graduate courses offered on a different topic by African Studies faculty across the disciplines and professional schools. They include intensive readings and guest lectures by national and international scholars.,"Typically Offered: Summer, Fall"
AFRI-B 102,ELEMENTARY BAMANA II,4 credits,AFRI,100,"Course Description: Introduction to Bamana, a Mande language of West Africa, and aspects of Bamana culture. Basic grammatical structures and vocabulary. Emphasis on the spoken language.",Typically Offered: Summer
AFRI-B 202,INTERMEDIATE BAMANA II,3 credits,AFRI,200,"Course Description: Study of more complex grammatical structures, with emphasis on active skills: speaking and writing. Reading of elementary texts.",Typically Offered: Summer
AFRI-B 302,ADVANCED BAMANA II,3 credits,AFRI,300,Course Description: Examination of subtle nuances in grammatical structures. Advanced readings of traditional and modern literature. Composition. Oriented to the needs of students enrolled.,Typically Offered: Summer
AFRI-B 502,ELEMENTARY BAMANA II,3 credits,AFRI,500,"Course Description: Bamana is spoken in West Africa especially Mali. Basic grammatical structures/vocabulary, spoken language used in social settings. Videos and internet resources will be used.",Typically Offered: Summer
AFRI-B 602,INTERMEDIATE BAMANA II,3 credits,AFRI,600,"Course Description: Study of more complex grammatical structures, with emphasis on active skills: speaking, writing, reading texts. Attention will be on oral/written compositions, reading and listening comprehension, and translation of texts. Graduate students will have an individual project.  Description of cultural events through the use of videos, CD-ROMs and the Internet.",Typically Offered: Summer
AFRI-B 702,ADVANCED BAMANA II,3 credits,AFRI,700,"Course Description: This course is the second part of two-semester course.  Study of complex grammatical structures, contextual discourse patterns. Advanced readings, oral and written compositions, listening comprehension, translation of complex texts. Additional project(s).",Typically Offered: Summer
AFRI-K 102,ELEMENTARY AKAN II,4 credits,AFRI,100,"Course Description: Basic grammatical structures and vocabulary. Emphasis on spoken language-oral and listening comprehension, language use in specific social settings like the market, school, hospital, doctor's office, among others. Important cultural points such as food, clothing, marriage.",Typically Offered: Summer
AFRI-K 150,ACCELERATED ELEMENTARY AKAN I,4 credits,AFRI,100,Course Description: Provides intensive instruction in Akan language and culture. Students can achieve a year's proficiency in the language.,Typically Offered: Summer
AFRI-K 202,INTERMEDIATE AKAN II,3 credits,AFRI,200,"Course Description: Study of more complex grammatical structures, with emphasis on active skills, speaking, writing and reading texts. Attention on oral and written composition, reading and listening comprehension, and translation. Description of cultural events through the use of videos and Internet resources.",Typically Offered: Summer
AFRI-K 302,ADVANCED AKAN II,3 credits,AFRI,300,"Course Description: Study of complex grammatical structures and more complex contextual discourse patterns. Advanced readings of traditional and modern literature. Advanced oral and written compositions, advanced reading and listening comprehension and translation of complex texts from English to Akan.",Typically Offered: Summer
AFRI-K 502,ELEMENTARY AKAN II,3 credits,AFRI,500,"Course Description: Introduction to Akan, major language in Ghana.  Basic grammatical structures, vocabulary, emphasis on the spoken language, oral, listening comprehension, language use in specific social settings.  Graduate students will have individual projects to submit.  Important cultural points like food, clothing, marriage, etc. Videos and Internet resources will be used.",Typically Offered: Summer
AFRI-K 602,INTERMEDIATE AKAN II,3 credits,AFRI,600,"Course Description: Study of more complex grammatical structures, emphasis on active skills: speaking, writing, reading. Attention will be on oral, written composition, reading, listening comprehension, translation of texts. Graduate students will have project(s) assigned.",Typically Offered: Summer
AFRI-K 702,ADVANCED AKAN II,3 credits,AFRI,700,"Course Description: Instruction is mostly in Akan, learners are required to participate in discussions and activities. Akan movies, songs, storybooks, and folktales will be used to expand vocabulary inventory. Grammar will be reviewed and exercises assigned to check grasp of grammatical patterns and ability to express themselves appropriately in given communicative situations.",Typically Offered: Summer
AFRI-L 100,TOPICS IN AFRICAN SOCIETY AND CULTURE,3 credits,AFRI,100,Course Description: Study of selected topics in African studies not covered in existing regularly scheduled courses.,"Typically Offered: Spring, Summer, Fall"
AFRI-L 100,"STHRN AFRICA: CULTURE, DIVERSITY, TRANSFORMATION (TOPICS IN AFRICAN SOCIETY AND CULTURE)",3 credits,AFRI,100,Course Description: Study of selected topics in African studies not covered in existing regularly scheduled courses.,"Typically Offered: Spring, Summer, Fall"
AFRI-L 232,CONTEMPORARY AFRICA,3 credits,AFRI,200,"Course Description: An introduction to current social, economic, and political issues in Africa.","Typically Offered: Summer, Fall"
AFRI-L 400,TOPICS IN AFRICAN STUDIES,3 credits,AFRI,400,Course Description: Intensive study of selected topics in African studies. Studies in special topics not ordinarily covered by African Studies program courses. May not duplicate a regularly offered course. Topics vary.,"Typically Offered: Spring, Summer, Fall"
AFRI-L 400,"SOCIETIES AND CULTURES IN GHANA, WEST AFRICA (TOPICS IN AFRICAN STUDIES)",3 credits,AFRI,400,Course Description: Intensive study of selected topics in African studies. Studies in special topics not ordinarily covered by African Studies program courses. May not duplicate a regularly offered course. Topics vary.,"Typically Offered: Spring, Summer, Fall"
AFRI-L 481,AFRICAN LANGUAGES IN SOCIAL INTERACTIONS,3 credits,AFRI,400,"Course Description: Focuses on language use in social interaction in different African communities. Covers speech acts like requests, refusals, and apologies as well as indirect communication, both verbal and written. Includes discussion of African language classification, language families, language policies, and writing systems.",Typically Offered: Summer
AFRI-L 506,TUTORIAL INSTRUCTION IN FOREIGN LANGUAGES,1-6 credits,AFRI,500,"Course Description: This is a fourth year course intended to consolidate students' language and culture knowledge, and proficiency; and promote the level of proficiency to Advanced High, per ACTFL guidelines. It is an individualized language instruction in specific languages.","Typically Offered: Spring, Summer, Fall"
AFRI-S 102,ELEMENTARY SWAHILI 2,3-4 credits,AFRI,100,"Course Description: Introduction to Swahili, a Bantu language spoken in east Africa, and to aspects of Bantu culture. Basic grammatical structures and vocabulary. Emphasis on the spoken language.","Typically Offered: Spring, Summer"
AFRI-S 202,INTERMEDIATE SWAHILI 2,3 credits,AFRI,200,Course Description: Study of more complex grammatical structures with emphasis on active skills: speaking and writing. Reading of elementary texts.,Typically Offered: Summer
